timestamp,event,simid,data_usage
2021-02-22 08:42:47.789297,Create PDP context,0002,0.0
2021-02-22 08:42:48.789297,data,0002,0.04
2021-02-22 08:42:49.789297,Delete PDP context,0002,0.0
2021-02-22 08:43:36.789297,Create PDP context,0003,0.0
2021-02-22 08:43:37.789297,data,0003,0.03
2021-02-22 08:43:38.789297,Delete PDP context,0003,0.0
2021-02-22 08:44:34.789297,Create PDP context,0001,0.0
2021-02-22 08:44:35.789297,data,0001,0.03
2021-02-22 08:44:36.789297,Delete PDP context,0001,0.0
2021-02-22 08:45:22.789297,Create PDP context,0003,0.0
2021-02-22 08:45:23.789297,data,0003,0.02
2021-02-22 08:45:24.789297,Delete PDP context,0003,0.0
2021-02-22 08:46:07.789297,Create PDP context,0002,0.0
2021-02-22 08:46:08.789297,data,0002,0.02
2021-02-22 08:46:09.789297,Delete PDP context,0002,0.0
2021-02-22 08:46:58.789297,Create PDP context,0004,0.0
2021-02-22 08:46:59.789297,data,0004,0.03
2021-02-22 08:47:00.789297,Delete PDP context,0004,0.0
2021-02-22 08:47:48.789297,Create PDP context,0003,0.0
2021-02-22 08:47:49.789297,data,0003,0.04
2021-02-22 08:47:50.789297,Delete PDP context,0003,0.0
2021-02-22 08:48:48.789297,alert,0004,0.0
2021-02-22 08:49:28.789297,alert,0004,0.0
2021-02-22 08:49:57.789297,Create PDP context,0003,0.0
2021-02-22 08:49:58.789297,data,0003,0.02
2021-02-22 08:49:59.789297,Delete PDP context,0003,0.0
2021-02-22 08:50:42.789297,Create PDP context,0003,0.0
2021-02-22 08:50:43.789297,data,0003,0.04
2021-02-22 08:50:44.789297,Delete PDP context,0003,0.0
2021-02-22 08:51:27.789297,Create PDP context,0001,0.0
2021-02-22 08:51:28.789297,data,0001,0.02
2021-02-22 08:51:29.789297,Delete PDP context,0001,0.0
2021-02-22 08:52:02.789297,Create PDP context,0002,0.0
2021-02-22 08:52:03.789297,data,0002,0.03
2021-02-22 08:52:04.789297,Delete PDP context,0002,0.0
2021-02-22 08:52:42.789297,alert,0004,0.0
2021-02-22 08:53:28.789297,Create PDP context,0002,0.0
2021-02-22 08:53:29.789297,data,0002,0.03
2021-02-22 08:53:30.789297,Delete PDP context,0002,0.0
2021-02-22 08:53:59.789297,Create PDP context,0004,0.0
